Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (AIF External Dependency),Custom field (AIF Innovation Potential),Custom field (AIF Sufficiency),Custom field (AIF Value),Custom field (Acceptance Criteria),Custom field (Access to AIAPPS Platform with ability to*),Custom field (Affected services),Custom field (Audience Segment ID),Custom field (Audience Type),Custom field (BCA Started),Custom field (Baseline end date),Custom field (Baseline start date),Custom field (Benefit hypothesis),Custom field (Business Value [MM$]),Custom field (CSE FTE Engaged),Custom field (Categories | Regions),Custom field (Category),Custom field (Chance of success),Custom field (Change completion date),Custom field (Change reason),Custom field (Change risk),Custom field (Change start date),Custom field (Change type),Custom field (Committed),Custom field (Compass),Custom field (Concerned Jira or Confluence URLs),Custom field (Concerned users - P&G shortnames only),Custom field (DS ELT Contact),Custom field (Dependency Status),Custom field (Dependency Type),Custom field (Development),Custom field (Domain),Custom field (End date),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Facebook Ad Account),Custom field (Have you read the documentation?),Custom field (Impact),Custom field (Issue color),Custom field (Key Sponsor),Custom field (Lead DS),Custom field (Locked forms),Custom field (Model Risk Officer),Custom field (NSR Jira Ticket),Custom field (Needed by),Custom field (Open forms),Custom field (Persons requiring access or project admins (P&G emails are required!)),"Custom field (Provide request details, e.g. application name:)",Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Requesting team),Custom field (Requestor),Custom field (Risk),Satisfaction rating,Custom field (Stage),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Success Metris),Custom field (Target end),Custom field (Target start),Custom field (Task progress),Custom field (Team),Custom field (Tier),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Type of Product),Custom field (Value),Custom field (What is your issue about?),Custom field ([CHART] Date of First Response),Custom field (itAccess group to map),Comment,Comment.1,Status Category,Watchers.1,Watchers Id.1,Outward issue link (Cloners),Custom field (Epic Link),Epic Link Summary,Sprint,Sprint.1,Comment.2,Parent,Parent summary,Inward issue link (Cloners),Attachment.1,Attachment.2,Attachment.3,Attachment.4,Custom field (Reviewers),Custom field (Reviewers)Id,Inward issue link (Relates),Inward issue link (Relates).1,"Custom field (Support required for Jira, Confluence or both?)",Comment.3,Comment.4,Comment.5,Labels,Inward issue link (Blocks),Inward issue link (Cloners).1,Inward issue link (Cloners).2,Inward issue link (Gantt End to Start),Inward issue link (Gantt End to Start).1,Outward issue link (Gantt End to Start),Outward issue link (Gantt End to Start).1,Outward issue link (Relates),Outward issue link (Relates).1,Outward issue link (Relates).2,Sprint.2,Sprint.3,Sprint.4,Comment.6,Comment.7,Comment.8,Comment.9,Comment.10,Comment.11,Comment.12,Fix versions,Labels.1,Attachment.5,Attachment.6,Attachment.7,Attachment.8,Custom field (AIF Internal Dependency),Inward issue link (Problem/Incident),Outward issue link (Relates).3,Outward issue link (Relates).4,Outward issue link (Relates).5
Work on TSS Remediation for medium risk issue - CSS-6-2-3,DPOA-1840,130695,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,29/May/23 9:09 AM,20/Jun/23 10:56 AM,27/Jun/23 6:22 AM,20/Jun/23 10:56 AM,,0,"Issues available at: [Issues | Wiz Portal|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))))]

*Medium* severity issues:

* *CSS-6-2-3*

!image-20230529-130446.png|width=1298,height=884!

!image-20230529-130504.png|width=1267,height=890!

3 months to proceed with the issue.",,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,,,,,,29/May/23 9:09 AM;6405ed610e0ddcdce18e3980;image-20230529-130446.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23092,,,,,Identified issue root cause.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fi1d:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,29/May/23 9:14 AM;6405ed610e0ddcdce18e3980;Issue to be confirm with Christopher Heitkamp and Marcin Krawczyk on Tuesday 29 of May,13/Jun/23 6:54 AM;6405ed610e0ddcdce18e3980;Ticket to CloudOps created. [Request - Cloud Operations Portal v2 (service-now.com)|https://pgglobalenterprise.service-now.com/cloud_new?id=sc_request&is_new_order=true&table=sc_request&sys_id=8d01a9971b1be51097c5c9522a4bcb31],Done,,,DPOA-1839,DPOA-1643,Overall Architecture/Tech Debt AMJ23,AMJ.23.6,,"16/Jun/23 8:50 AM;6405ed610e0ddcdce18e3980;there is a discussion within cloudops, centrify team and security team about this issue as per centrify sshd_config config PasswordAuthentication should not be change to No as it will break the agent. Accessing Vm used the paswordauthentication by centrify and AD.",113532.0,Overall Architecture/Tech Debt AMJ23,DPOA-1911,29/May/23 9:09 AM;6405ed610e0ddcdce18e3980;image-20230529-130504.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23093,,,,Szymon Osiecki,61029d08627b560068c8a078,,,,20/Jun/23 10:04 AM;6405ed610e0ddcdce18e3980;Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work on TSS Remediation for medium risk issue - Unsanctioned technology running on a VM Instance,DPOA-1838,130692,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,Pawel Borowiak,6405ed610e0ddcdce18e3980,29/May/23 9:02 AM,20/Jun/23 10:56 AM,20/Jun/23 10:56 AM,20/Jun/23 10:56 AM,,0,"Issues available at: [Issues | Wiz Portal|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))))]

*Medium* severity issues

* *Unsanctioned technology running on a VM Instance*

!image-20230529-130346.png|width=1788,height=837!

!image-20230529-130415.png|width=1416,height=736!

3 months to proceed with the issue.",,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,,,,,,29/May/23 9:06 AM;6405ed610e0ddcdce18e3980;image-20230529-130346.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23089,,,,,Identified issue root cause.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i0fi1b:,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,,,29/May/23 9:15 AM;6405ed610e0ddcdce18e3980;Issue to be confirm with Christopher Heitkamp and Marcin Krawczyk on Tuesday 29 of May,13/Jun/23 6:55 AM;6405ed610e0ddcdce18e3980;Christopher: I'm still waiting to hear back about the Nessus issue. Thanks! ,Done,,,DPOA-1730,DPOA-1643,Overall Architecture/Tech Debt AMJ23,AMJ.23.6,,20/Jun/23 10:06 AM;6405ed610e0ddcdce18e3980;Done,113532.0,Overall Architecture/Tech Debt AMJ23,DPOA-1839,29/May/23 9:06 AM;6405ed610e0ddcdce18e3980;image-20230529-130415.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/23088,,,,Szymon Osiecki,61029d08627b560068c8a078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable DDAPI connectivity to AML blueprint,DPOA-1835,130276,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Low,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,24/May/23 3:02 AM,09/Jun/23 8:48 AM,05/Jul/23 8:18 AM,,,0,"Establish network connectivity to Storage Account via Service Endpoints (VNET whitelisting) from *DDAPI application*’s VNet-Subnets listed below:

[https://jira-pg-ds.atlassian.net/wiki/spaces/CDLBOK/pages/3778904132/Whitelist+the+VNET+SUBNET+of+Data+Delivery+file+mover+in+the+destination+storage+account+of+subscribers|https://jira-pg-ds.atlassian.net/wiki/spaces/CDLBOK/pages/3778904132/Whitelist+the+VNET+SUBNET+of+Data+Delivery+file+mover+in+the+destination+storage+account+of+subscribers|smart-link] ",,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,,,,,,,,,,,,,Release feature into AML blueprint and DSL wrapper module as optional / default feature.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i06ozj:v,,,,,,,,,,0.6,,,,,,,,,,,,,,,2023-05-24 07:16:42.568,,"24/May/23 3:16 AM;61029d08627b560068c8a078;h2. *List of file mover vnets and subnets and Resource Groups*

All vnets and subnets are under PG-NA-External-Prod-04 subscription

*MDM*    

* *vnet-sa-func-filemover-md-prem-p101* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-MasterData04-01

*POS*

* *_vnet-sa-func-filemover-pos-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-PointOfSale04-01

*_RE(SF)_*

* *_vnet-sa-func-filemover-salesfund-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-SalesFundamentals-01

*_Product Supply_* +*_and all other data types_*+ *_(DataDeliveryGP)_*

* *_vnet-sa-func-filemover-genpurp-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-DataDeliveryGP-01

*_IndirectShipment_*

* *_vnet-sa-func-filemover-indirship-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-IndirectShipment04-01

 *_DirectShipment_*

* *_vnet-sa-func-filemover-ship-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-DirectShipment04-01

 *_TradePanel_*

* *_vnet-sa-func-filemover-tp-prem-p101_* with subnet *_default_*
* RG: AZ-RG-CoreDataPlatform-TradePanel04-01",24/May/23 3:19 AM;61029d08627b560068c8a078;{color:#ff5630}NOTE{color}: By default All DDDAPI subscribers are asked to [Whitelist the VNET /SUBNET of Data Delivery file mover in the destination storage account of subscribers|https://jira-pg-ds.atlassian.net/wiki/pages/resumedraft.action?draftId=3778904132] but when at least one Private Endpoint is added to the Subscriber or publisher storage ( for any reason) it will disable current VNETs whitelisting in the storage account and cause all your subscriptions to fail.,To Do,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1689,GCP and Azure Enhancements JAS23,,,,115718.0,GCP and Azure Enhancements JAS23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release as default feature: Attach AKS cluster as Kubernetes Compute,DPOA-1797,127350,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,High,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,28/Apr/23 9:03 AM,03/Jul/23 3:48 PM,13/Jun/23 5:35 AM,,,0,"Once the pipelines are successfully provisioning AML workspaces along with Kubernetes Compute attachment, create and merge new release in AML blueprint and DSL wrapper modules as an optional feature.",,Andrew Bloomberg,5b756e39d521620528394596,,,,,,,,,,,,,,Release is created and merged in AML blueprint and DSL wrapper modules as default feature.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i06ozj:r2,,,,,,,,,,0.1,,,,,,,,,,,,,,,2023-06-09 12:46:47.59,,09/Jun/23 8:46 AM;5b756e39d521620528394596;Requires work from hackathon to be done first.,13/Jun/23 5:18 AM;5dde91bb7eb2280d03c98dd0;Feature branch [*dpoa-1898*|https://github.com/procter-gamble/terraform-azure-machine-learning-service/tree/dpoa-1898] created to implement changes in this sprint.,To Do,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,,DPOA-1689,GCP and Azure Enhancements JAS23,AMJ.23.3,AMJ.23.6,,115718.0,GCP and Azure Enhancements JAS23,,,,,,Szymon Osiecki,61029d08627b560068c8a078,,,Confluence,,,,,ITSMS-59,,,DPOA-1752,,,,,,,FY2324_P1.1,,,,,,,,,,,,,,,,,,,,
Custom Storage Account Service Endpoints in AML Blueprint,DPOA-1779,126583,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,24/Apr/23 8:26 AM,29/Jun/23 10:18 AM,05/Jul/23 8:18 AM,,,0,"Implement ability to specify custom Service Endpoints on AML Storage Accounts.

The feature will make the deployment more reliable, because reruns won't break existing connections.",,Szymon Osiecki,61029d08627b560068c8a078,,,,,,,,,,,,,,Additional Service Endpoints on AML Storage Accounts has been implemented in AML blueprint.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i06ozj:p,,,,,,,,,,,,,,,,,,,,,,,,Something else,,,,,To Do,,,DPOA-1688,DPOA-1689,GCP and Azure Enhancements JAS23,,,,115718.0,GCP and Azure Enhancements JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automate Kubernetes attachment in AML for inference, training and IPA deployments",DPOA-1753,124747,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,High,Done,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,11/Apr/23 12:50 PM,03/Jul/23 10:14 AM,06/Jun/23 10:33 AM,03/Jul/23 10:14 AM,,0,"Set up AML app repository in the App of Apps repository of the kubernetes AKS cluster.

There are 3 AoA repositories for shared kubernetes clusters:

* [https://github.com/procter-gamble/aks-aif-mt-dev-cluster-aoa|https://github.com/procter-gamble/aks-aif-mt-dev-cluster-aoa] - dev repo for the internal AIF development purposes (ITS, and AIP dev application).
* [https://github.com/procter-gamble/aks-aif-mt-nonprod-cluster-aoa|https://github.com/procter-gamble/aks-aif-mt-nonprod-cluster-aoa] - for workspaces deployments to NonProduction subscription.
* [https://github.com/procter-gamble/aks-aif-mt-prod-cluster-aoa|https://github.com/procter-gamble/aks-aif-mt-prod-cluster-aoa] - for workspaces deployments to Production subscription.

There should be created 3 files in the {{apps/<org-name>/<repository_name.lower()>}} location:

organization prefixes:

* pg - procter-gambe
* dsdc - pg-ds-dev-class

{color:#ff5630}!Suggested making a limit for repository name to 50 characters{color}

# namespace.yaml

{code:yaml}apiVersion: v1
kind: Namespace
metadata:
  name: {{ organization-prefix }}-{{ repository_name.lower() }}
  labels:
    name: {{ organization-prefix }}-{{ repository_name.lower() }}
    instance_id: ""{{ instance_id }}""{code}

# {{gitrepository.yaml}}
{code:yaml}apiVersion: source.toolkit.fluxcd.io/v1
kind: GitRepository
metadata:
  name: {{ organization-prefix }}-{{ repository_name.lower() }}
  namespace: app-of-apps
spec:
  interval: 1m0s
  ref:
    branch: fluxcd-deployment-{{ prod/nonprod }}
  secretRef:
    name: ssh-{{ organization-prefix }}-{{ repository_name.lower() }}
  url: ssh://git@github.com/procter-gamble/{{ repository_name }}{code}
# {{secret.yaml}}
{code:yaml}apiVersion: v1
kind: Secret
metadata:
  name: ssh-{{ organization-prefix }}-{{ repository_name.lower() }}
  namespace: app-of-apps
type: Opaque
data:
  identity: {{ base64_encoded_ssh_ecdsa_eliptic_p521_private_key }}
  identity.pub: {{ base64_encoded_ssh_ecdsa_eliptic_p521_public_key }}
  known_hosts: {{ base64_encoded_github.com_fingerprint }}{code}

Klucz publiczny (identity_pub, ale nie base64 encoded) należy dodać jako deploy key (tylko do odczytu) w powyżej zdefiniowanym repozytorium (GitRepository, line 12).

# {{service-account.yaml}}
{code:yaml}apiVersion: v1
kind: ServiceAccount
metadata:
  annotations:
    azure.workload.identity/client-id: {{ user_assigned_identity_id_created_during_aml_provisioning }}
  labels:
    azure.workload.identity/use: ""true""
  name: workload-sa
  namespace: {{ organization-prefix }}-{{ repository_name.lower() }}{code}

Create federated credential for the ServiceAccount (above). The Azure-CLI command:

{noformat}az identity federated-credential create `
    --name ""{{ organization-prefix }}-{{ repository_name.lower() }}"" `
    --identity-name <aml_ws_name>-uami `
    --resource-group <aml_resourceGroup> `
    --subscription <aml_subscriptionId> `
    --issuer <issuer_url> `  #from the map below
    --subject system:serviceaccount:{{ organization-prefix }}-{{ repository_name.lower() }}:workload-sa{noformat}

Issuer URLs (determined for the repository):

* dev - [https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/d79f3d2b-d040-4e60-bc97-d590f92d4d3e/|https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/d79f3d2b-d040-4e60-bc97-d590f92d4d3e/]
* nonprod - [https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/faf8b504-5248-4624-b601-ab2c0c796fb5/|https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/faf8b504-5248-4624-b601-ab2c0c796fb5/]
* prod - [https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/92b26c89-74f2-452a-bf17-be3ecdbc0e80/|https://eastus2.oic.prod-aks.azure.com/3596192b-fdf5-4e2c-a6fa-acb706c963d8/92b26c89-74f2-452a-bf17-be3ecdbc0e80/]

And {{kustomization_de-cf-<repository_name.lower()>.yaml}} file created in {{flux}} location

{code:yaml}apiVersion: kustomize.toolkit.fluxcd.io/v1
kind: Kustomization
metadata:
  name: {{ organization-prefix }}-{{ repository_name.lower() }}
  namespace: app-of-apps
spec:
  interval: 1m0s
  serviceAccountName: app-of-apps-sa
  path: /
  prune: true
  sourceRef:
    kind: GitRepository
    name: {{ organization-prefix }}-{{ repository_name.lower() }}
  targetNamespace: {{ organization-prefix }}-{{ repository_name.lower() }}{code}



Change the {{PG MachineLearning Admin}} role  assigned for the created ServicePrincipal on the AML ResourceGroup to {{PG ResourceGroup Admin}}.

h2. terraform.tfvars changes

Add 2 new variables to the {{ds_launchpad/templates/terraform/terraform.tfvars}} file:

{noformat}attach_kubernetes_compute = true
kubernetes_compute_env = ""prod""{noformat}

the {{kubernetes_compute_env}} needs to be determined the same way as the OIDC/Repo and the values for it are:

* {{prod}}
* {{nonprod}}
* {{dev}}

h2. New secret in AML KV

We need a random string (may be 64 characters long) to be generated and saved to AML Key-Vault secret after the workspace provisioning.",,Szymon Osiecki,61029d08627b560068c8a078,,,,,,,,,,,,,Enabler,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,,,purple,,,,,,,,,,1|i0e5mf:i,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,Done,,,DPOA-840,DPOA-1655,Azure Enhancements AMJ23,AMJ.23.6,,,113962.0,Azure Enhancements AMJ23,,,,,,,,,,Confluence,,,,,AFMD-524,,,DPOA-1752,DPOA-1893,,,ITS-33,ITS-36,DPOA-1951,,,,,,,,,,,,,,,,,,,,,
Work on TSS Remediation PI.AMJ.23 for medium risk issues,DPOA-1730,122733,Story,Done,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,Done,Pawel Borowiak,6405ed610e0ddcdce18e3980,Szymon Osiecki,61029d08627b560068c8a078,Szymon Osiecki,61029d08627b560068c8a078,01/Apr/23 5:25 AM,09/Jun/23 3:40 AM,09/Jun/23 3:40 AM,09/Jun/23 3:40 AM,,0,"Issues available at: [Issues | Wiz Portal|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))))]

*Medium* severity issues

* 2 [VM instance/serverless with cleartext cloud keys allowing access to external accounts (both DSL VMs)|https://app.wiz.io/issues#~(filters~(resourceTag~(TAG_CONTAINS_ANY~(~(key~'Application_Id~value~'CI003427367)))~control~(equals~(~'wc-id-259)))~groupBy~'none)]

!image-20230401-093231.png|width=1053,height=266!

!image-20230401-093242.png|width=1015,height=273!

Access to [http://app.wiz.io|http://app.wiz.io|smart-link] has been requested. Work on getting access to VMs to identify issues.",,Pawel Borowiak,6405ed610e0ddcdce18e3980,,,,,,,,,01/Apr/23 5:32 AM;ug:2b10ad08-2990-4dbe-828d-61c962aafa4a;image-20230401-093231.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/21720,,,,,Identified issue root cause.,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,,,,,,,,,,,1|i09kzw:r,,,,,,,,,,0.2,,,,,,,,,,,,,,Something else,2023-04-05 10:42:25.627,,05/Apr/23 3:52 AM;61029d08627b560068c8a078;Contact [walo.r@pg.com|mailto:walo.r@pg.com] or [heitkamp.cr@pg.com|mailto:heitkamp.cr@pg.com] to ask about the issue. How to identify it.,"05/Apr/23 3:52 AM;61029d08627b560068c8a078;Contact {{ederango.jr to as about access to wizz.io.}}

Access Request ID: 9610355",Done,Szymon Osiecki,61029d08627b560068c8a078,,DPOA-1643,Overall Architecture/Tech Debt AMJ23,AMJ.23.1,AMJ.23.2,05/Apr/23 6:42 AM;6405ed610e0ddcdce18e3980;Contacted {{ederango.jr}} in regards to the access to wizz.io,113532.0,Overall Architecture/Tech Debt AMJ23,DPOA-1838,01/Apr/23 5:32 AM;ug:2b10ad08-2990-4dbe-828d-61c962aafa4a;image-20230401-093242.png;https://jira-pg-ds.atlassian.net/rest/api/3/attachment/content/21721,,,,Szymon Osiecki,61029d08627b560068c8a078,,,,"12/Apr/23 3:02 PM;61029d08627b560068c8a078;The following changes you requested for identity 'borowiak.p' were APPROVED.

|*Display Value(s):*|WIZ-Global-Graph-Reader|","24/Apr/23 10:09 AM;6405ed610e0ddcdce18e3980;Contacted [walo.r@pg.com|mailto:walo.r@pg.com], and he recommended to contact *Krawczyk, Marcin or Heitkamp, Christopher*

I already contacted them and waiting for response. 

----

Access to [wiz.io|http://wiz.io] granted, I am able to access site","25/Apr/23 9:12 AM;6405ed610e0ddcdce18e3980;Heitkamp, Christopher to provide the preliminary information and schedule a call to check the issue.",,,,,,,,,DPOA-1740,DPOA-1664,,AMJ.23.3,AMJ.23.4,AMJ.23.5,"28/Apr/23 6:51 AM;6405ed610e0ddcdce18e3980;Call with *Krawczyk, Marcin or Heitkamp, Christopher* needed. ",24/May/23 7:19 AM;6405ed610e0ddcdce18e3980;Arek Glinka to delete the resources from the DS Launchpad VMs.,29/May/23 8:57 AM;6405ed610e0ddcdce18e3980;Arek Glinka deleted the resources. Waiting for the [Wiz.io|http://Wiz.io] to delete the alert. ,"07/Jun/23 5:17 AM;6405ed610e0ddcdce18e3980;Christopher confirmed that need to be deleted also here is a cleartext password stored on a azl-dslaunchpad for [sa-dsl-ui@dna-ai-factory-dev-679e.iam.gserviceaccount.com|mailto:sa-dsl-ui@dna-ai-factory-dev-679e.iam.gserviceaccount.com] - /home/glinka.ag/~/.config/gcloud/legacy_credentials/sa-dsl-ui@dna-ai-factory-dev-679e.iam.gserviceaccount.com/adc.json.
File deleted",,,,,,,,,,,,,,
Research/discuss needs to provision in non DS Azure subscriptions,DPOA-1694,115740,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Andrew Bloomberg,5b756e39d521620528394596,Andrew Bloomberg,5b756e39d521620528394596,14/Mar/23 10:53 AM,29/Jun/23 10:17 AM,05/Jul/23 8:18 AM,,,0,Only discussion - need to figure out if this is actually needed or not.  Should talk with Pete and others possibly.,,Andrew Bloomberg,5b756e39d521620528394596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i06ozj:o,,,,,,,,,,,,,,,,,,,,,,,,Something else,,,,,To Do,,,,DPOA-1689,GCP and Azure Enhancements JAS23,,,,115718.0,GCP and Azure Enhancements JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ML registries to AML blueprint,DPOA-1690,115722,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,14/Mar/23 9:38 AM,03/Jul/23 3:48 PM,05/Jul/23 8:18 AM,,,0,,,Andrew Bloomberg,5b756e39d521620528394596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i06ozj:oi,,,,,,,,,,,,,,,,,,,,,,,,Something else,2023-06-20 11:38:48.466,,14/Mar/23 9:39 AM;5fff11ae849d6401119514b6;[~accountid:61029d08627b560068c8a078] will add description,20/Jun/23 7:38 AM;5b756e39d521620528394596;[~accountid:5dde91bb7eb2280d03c98dd0] or [~accountid:61029d08627b560068c8a078] can you please add description,To Do,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,DPOA-1689,GCP and Azure Enhancements JAS23,,,,115718.0,GCP and Azure Enhancements JAS23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Azure cognitive services to AML blueprint,DPOA-1688,115717,Story,To Do,DPOA,AI Provisioner,software,Andrew Bloomberg,5b756e39d521620528394596,,https://dslaunchpad.pg.com,Medium,,Jagjeet Singh,5dde91bb7eb2280d03c98dd0,Radoslaw Wrzesien,5fff11ae849d6401119514b6,Radoslaw Wrzesien,5fff11ae849d6401119514b6,14/Mar/23 9:25 AM,29/Jun/23 10:17 AM,05/Jul/23 8:18 AM,,,0,,,Radoslaw Wrzesien,5fff11ae849d6401119514b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,,,,"No, I have not read the documentation",,purple,,,,,,,,,,1|i06ozj:k,,,,,,,,,,,,,,,,,,,,,,,,Something else,,,14/Mar/23 9:38 AM;5fff11ae849d6401119514b6;[~accountid:61029d08627b560068c8a078] will add description,,To Do,,,,DPOA-1689,GCP and Azure Enhancements JAS23,,,,115718.0,GCP and Azure Enhancements JAS23,DPOA-1779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
